timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-05-01 00:00:00+00:00,20.898,21.048,20.869,21.004,229572,4809826.4,18943,119944,2513047.721
2025-05-01 01:00:00+00:00,21.004,21.236,21.004,21.145,400473,8470937.157,24424,197876,4186477.268
2025-05-01 02:00:00+00:00,21.145,21.278,21.039,21.059,313855,6645549.254,23942,173253,3669074.632
2025-05-01 03:00:00+00:00,21.06,21.126,20.913,20.939,249002,5235799.718,19663,124258,2613420.951
2025-05-01 04:00:00+00:00,20.939,20.97,20.8,20.941,233457,4874367.434,18216,115474,2411457.424
2025-05-01 05:00:00+00:00,20.939,21.228,20.93,21.141,420847,8879186.502,22726,233099,4915227.917
2025-05-01 06:00:00+00:00,21.14,21.153,20.988,21.039,211315,4449774.537,16306,91032,1917045.823
2025-05-01 07:00:00+00:00,21.039,21.248,20.998,21.205,228530,4835796.735,16408,126863,2684679.283
2025-05-01 08:00:00+00:00,21.205,21.349,21.181,21.314,415018,8827716.298,22404,233251,4961085.338
2025-05-01 09:00:00+00:00,21.314,21.386,21.232,21.306,258061,5497997.741,19163,124306,2648880.914
2025-05-01 10:00:00+00:00,21.306,21.561,21.302,21.535,701248,15048172.755,32616,351141,7534738.069
2025-05-01 11:00:00+00:00,21.534,21.586,21.376,21.463,335959,7218900.281,20320,161603,3472650.384
2025-05-01 12:00:00+00:00,21.463,21.518,21.359,21.393,267168,5725637.713,19272,125048,2680009.11
2025-05-01 13:00:00+00:00,21.396,21.467,21.101,21.106,603390,12850056.928,35772,269180,5735512.306
2025-05-01 14:00:00+00:00,21.106,21.4,21.106,21.382,1135222,24140332.435,45409,582401,12387405.401
2025-05-01 15:00:00+00:00,21.384,21.541,21.284,21.337,669413,14334124.262,34946,307635,6588709.202
2025-05-01 16:00:00+00:00,21.337,21.575,21.328,21.446,439364,9433450.705,25228,233809,5020255.553
2025-05-01 17:00:00+00:00,21.445,21.539,21.271,21.358,439516,9399406.333,23345,188237,4026838.238
2025-05-01 18:00:00+00:00,21.356,21.834,21.234,21.787,773814,16649134.306,37182,381161,8206722.04
2025-05-01 19:00:00+00:00,21.787,21.859,21.638,21.75,763443,16628066.804,38116,391308,8523458.981
2025-05-01 20:00:00+00:00,21.754,21.834,21.61,21.642,531681,11553783.973,31320,287774,6255339.551
2025-05-01 21:00:00+00:00,21.642,21.728,21.517,21.617,320588,6936274.733,18121,177157,3834192.618
2025-05-01 22:00:00+00:00,21.619,21.723,21.557,21.609,231296,5003217.434,16145,116543,2520374.818
2025-05-01 23:00:00+00:00,21.609,21.696,21.542,21.626,186677,4035471.522,15629,92962,2010242.794
2025-05-02 00:00:00+00:00,21.626,21.988,21.561,21.949,1259665,27428051.481,61624,547151,11925633.233
2025-05-02 01:00:00+00:00,21.948,22.015,21.781,21.862,296609,6498870.537,24466,155178,3401353.677
2025-05-02 02:00:00+00:00,21.863,22.014,21.791,22.004,263357,5774850.341,21034,142394,3122813.468
2025-05-02 03:00:00+00:00,22.005,22.176,21.951,21.957,450673,9951483.088,33438,216160,4773787.883
2025-05-02 04:00:00+00:00,21.957,22.078,21.773,21.817,302052,6617527.148,22926,135528,2969035.014
2025-05-02 05:00:00+00:00,21.818,21.866,21.635,21.679,291204,6329323.008,20655,131874,2866677.186
2025-05-02 06:00:00+00:00,21.679,21.689,21.515,21.542,304528,6578302.279,24934,148104,3200048.24
2025-05-02 07:00:00+00:00,21.541,21.552,21.251,21.255,629081,13446678.136,36512,306033,6540332.889
2025-05-02 08:00:00+00:00,21.256,21.396,21.14,21.392,510132,10853466.162,30413,251938,5361929.516
2025-05-02 09:00:00+00:00,21.391,21.438,21.312,21.326,259978,5557251.779,21218,113346,2423094.56
2025-05-02 10:00:00+00:00,21.326,21.433,21.312,21.347,250590,5355884.929,19505,113748,2431460.477
2025-05-02 11:00:00+00:00,21.347,21.416,21.274,21.289,244802,5225458.363,17452,110503,2359178.968
2025-05-02 12:00:00+00:00,21.288,21.449,21.103,21.443,776439,16508433.147,42088,397153,8446095.309
2025-05-02 13:00:00+00:00,21.443,21.461,21.159,21.249,408537,8700300.777,30251,193195,4115512.866
2025-05-02 14:00:00+00:00,21.248,21.611,21.22,21.607,610687,13084720.552,38951,310332,6650331.532
2025-05-02 15:00:00+00:00,21.605,21.655,21.3,21.408,588590,12650075.697,32642,246553,5297468.099
2025-05-02 16:00:00+00:00,21.409,21.662,21.409,21.485,441242,9513767.374,30001,217880,4697607.139
2025-05-02 17:00:00+00:00,21.485,21.489,21.327,21.369,312519,6686686.319,20904,144825,3099115.011
2025-05-02 18:00:00+00:00,21.369,21.403,21.143,21.175,328010,6976194.782,22363,150343,3198421.653
2025-05-02 19:00:00+00:00,21.176,21.178,20.944,21.022,569796,12001534.717,30626,241662,5091485.216
2025-05-02 20:00:00+00:00,21.023,21.174,20.945,21.127,320920,6765242.889,19901,172095,3628332.873
2025-05-02 21:00:00+00:00,21.126,21.15,20.963,21.09,230506,4854964.401,15910,116627,2457078.993
2025-05-02 22:00:00+00:00,21.09,21.392,21.076,21.198,596535,12666889.927,32986,291916,6198371.011
2025-05-02 23:00:00+00:00,21.198,21.287,21.167,21.241,217401,4614061.817,15529,116443,2471496.073
2025-05-03 00:00:00+00:00,21.241,21.267,21.107,21.16,221622,4697154.346,16555,105939,2245356.477
2025-05-03 01:00:00+00:00,21.16,21.18,21.04,21.09,202393,4269774.486,15090,84885,1790632.835
2025-05-03 02:00:00+00:00,21.09,21.151,21.046,21.109,130122,2745585.875,11004,74316,1568043.489
2025-05-03 03:00:00+00:00,21.109,21.146,21.044,21.071,139037,2932649.739,11365,62803,1324746.145
2025-05-03 04:00:00+00:00,21.07,21.121,21.047,21.115,108256,2282878.089,9643,63570,1340540.991
2025-05-03 05:00:00+00:00,21.115,21.177,21.023,21.03,170413,3597254.128,11640,80612,1702420.195
2025-05-03 06:00:00+00:00,21.029,21.029,20.884,20.929,317108,6640436.991,18837,128766,2696415.683
2025-05-03 07:00:00+00:00,20.929,20.965,20.856,20.908,206818,4324974.291,14119,94841,1983937.319
2025-05-03 08:00:00+00:00,20.908,21.05,20.84,20.974,309977,6492627.82,17902,169777,3556210.87
2025-05-03 09:00:00+00:00,20.974,20.993,20.838,20.885,251259,5256394.809,16444,109603,2292849.849
2025-05-03 10:00:00+00:00,20.886,20.918,20.636,20.672,500125,10388234.566,25667,203803,4236606.456
2025-05-03 11:00:00+00:00,20.672,20.754,20.605,20.677,372305,7698023.15,20286,184682,3818813.687
2025-05-03 12:00:00+00:00,20.676,20.813,20.65,20.796,245672,5098363.844,17494,120405,2499037.155
