timestamp,open,high,low,close,volume,quote_volume,taker_buy_quote
2025-05-01 00:00:00+00:00,365.78,369.8,365.78,368.93,8707.145,3208752.44802,1607673.03242
2025-05-01 01:00:00+00:00,368.94,371.02,367.4,369.28,7658.181,2827145.37083,1372027.92094
2025-05-01 02:00:00+00:00,369.27,370.09,368.33,368.56,3751.093,1385236.18036,617353.80567
2025-05-01 03:00:00+00:00,368.57,369.89,366.72,367.38,5893.7,2170972.17905,756985.00158
2025-05-01 04:00:00+00:00,367.39,367.85,366.92,367.79,3232.876,1187650.51235,634708.8769
2025-05-01 05:00:00+00:00,367.8,369.14,365.91,366.36,12056.707,4433833.64927,1529567.91028
2025-05-01 06:00:00+00:00,366.37,367.47,365.61,365.98,4461.807,1635334.02411,904618.08982
2025-05-01 07:00:00+00:00,365.96,367.13,365.1,365.91,6546.204,2396705.43973,1089358.75422
2025-05-01 08:00:00+00:00,365.9,366.25,363.24,365.84,12288.776,4482031.79453,1702868.47951
2025-05-01 09:00:00+00:00,365.83,367.47,365.01,366.88,6314.126,2312667.54935,1171316.35003
2025-05-01 10:00:00+00:00,366.88,373.32,366.5,372,22067.934,8182226.83442,4494878.19164
2025-05-01 11:00:00+00:00,371.99,374.11,369.62,370.49,9796.614,3641443.43651,1531462.14432
2025-05-01 12:00:00+00:00,370.49,372.23,370.49,371.29,6310.248,2342849.66738,1181755.17522
2025-05-01 13:00:00+00:00,371.28,371.43,367.09,367.1,23207.148,8560966.51497,4721258.4665
2025-05-01 14:00:00+00:00,367.1,372.24,367.09,371.73,8866.345,3275787.11977,1594227.82387
2025-05-01 15:00:00+00:00,371.73,373.11,365.08,365.67,48005.301,17676850.8828,10249211.3354
2025-05-01 16:00:00+00:00,365.66,368.44,364.63,365.26,12295.814,4506043.76689,2200435.39711
2025-05-01 17:00:00+00:00,365.25,366.66,361.95,363.69,14636.496,5333782.93549,2107947.63126
2025-05-01 18:00:00+00:00,363.68,364.51,362.49,364.19,5241.58,1904615.49939,1001558.30901
2025-05-01 19:00:00+00:00,364.18,364.18,361.46,361.72,5986.157,2172443.12677,1023228.23923
2025-05-01 20:00:00+00:00,361.71,362.82,360.71,361.92,6604.081,2389175.78406,1212708.01159
2025-05-01 21:00:00+00:00,361.91,363.57,361.78,362.78,4685.002,1699668.67832,899431.50945
2025-05-01 22:00:00+00:00,362.78,363.66,361.27,361.72,6196.881,2245364.34137,1099523.69048
2025-05-01 23:00:00+00:00,361.72,361.79,359.54,360.35,10679.747,3849462.15559,1792205.61106
2025-05-02 00:00:00+00:00,360.34,363.22,358.3,361.7,12065.614,4352379.65004,2096638.52792
2025-05-02 01:00:00+00:00,361.7,368.39,359.5,366.18,40222.737,14662073.5509,6783458.03009
2025-05-02 02:00:00+00:00,366.13,370,364.42,368.94,22346.182,8221038.04339,3943647.35937
2025-05-02 03:00:00+00:00,368.93,370.53,368.21,368.51,11028.578,4073306.22087,1908338.92525
2025-05-02 04:00:00+00:00,368.52,370.22,366.99,367.45,10469.545,3856736.27052,1630871.9938
2025-05-02 05:00:00+00:00,367.44,371.65,366.97,367.69,22113.245,8170996.57605,3711859.84803
2025-05-02 06:00:00+00:00,367.68,370.73,366.88,370,14943.964,5514106.21996,2085537.01841
2025-05-02 07:00:00+00:00,370,371.43,368.29,368.57,11568.456,4274538.06723,1938980.53655
2025-05-02 08:00:00+00:00,368.57,374.4,368.57,370.18,21240.039,7896435.06262,3694546.90924
2025-05-02 09:00:00+00:00,370.16,370.81,367.74,368.74,9357.95,3455098.56639,1690301.91911
2025-05-02 10:00:00+00:00,368.78,369.99,368.07,369.34,6405.232,2363166.93137,1309786.39934
2025-05-02 11:00:00+00:00,369.33,370.11,368.22,368.28,5071.9,1872460.19204,943801.37217
2025-05-02 12:00:00+00:00,368.27,371.62,367.6,370.23,11008.195,4067933.04887,2000953.69372
2025-05-02 13:00:00+00:00,370.22,373.23,369.1,371.77,11600.727,4305420.29467,2266704.68099
