timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-05-01 00:00:00+00:00,2.1897,2.1964,2.1858,2.1956,13659580,29938053.3484,46476,7254336.9,15900830.2334
2025-05-01 01:00:00+00:00,2.1957,2.2037,2.1948,2.2007,12131586.1,26683944.5002,45451,5829219.1,12822460.5862
2025-05-01 02:00:00+00:00,2.2007,2.2193,2.2,2.2029,22390031.8,49470550.7679,64609,11913215.1,26323122.5579
2025-05-01 03:00:00+00:00,2.2029,2.214,2.202,2.2032,13428473.9,29638967.8752,47407,7154162.3,15790396.6818
2025-05-01 04:00:00+00:00,2.2033,2.2077,2.196,2.2059,9937700.1,21878299.0007,41908,4841227.4,10659637.8175
2025-05-01 05:00:00+00:00,2.206,2.2146,2.2033,2.2109,9350105.2,20662859.5314,41816,4758833.6,10517020.3261
2025-05-01 06:00:00+00:00,2.211,2.214,2.1954,2.1957,15170120.8,33410782.373,48519,6292227.9,13856989.5617
2025-05-01 07:00:00+00:00,2.1956,2.2047,2.1918,2.1992,14942381.3,32841023.962,46101,7895272.3,17354378.3864
2025-05-01 08:00:00+00:00,2.1991,2.2105,2.1971,2.2099,11417449.2,25179609.6059,40512,6478410.9,14285996.7305
2025-05-01 09:00:00+00:00,2.21,2.218,2.2026,2.214,18019853.3,39840274.5437,48949,10072660.2,22270136.9222
2025-05-01 10:00:00+00:00,2.2139,2.2455,2.2133,2.2349,47555220.2,106096558.425,120111,25108567.6,56017553.2514
2025-05-01 11:00:00+00:00,2.2348,2.2394,2.2287,2.2365,18998636.9,42468775.8588,57341,8331420,18622564.4209
2025-05-01 12:00:00+00:00,2.2364,2.2443,2.2315,2.2374,19475875.8,43581631.0508,63055,9706799.9,21720401.3858
2025-05-01 13:00:00+00:00,2.2374,2.2427,2.215,2.2157,34054407.3,75918922.1068,104609,15953053.5,35563987.0065
2025-05-01 14:00:00+00:00,2.2158,2.2444,2.2158,2.2429,31615152.6,70491476.0393,93364,18832792.5,42005494.2944
2025-05-01 15:00:00+00:00,2.243,2.2559,2.2349,2.2356,37480589.7,84162990.7687,109047,16652979,37394140.2953
2025-05-01 16:00:00+00:00,2.2356,2.2522,2.2355,2.2405,18940169.2,42516748.7878,61980,9081803.1,20386469.1071
2025-05-01 17:00:00+00:00,2.2405,2.2459,2.2268,2.2338,19255886.2,43048657.258,56870,8779977.9,19630333.3222
2025-05-01 18:00:00+00:00,2.2337,2.2346,2.221,2.2326,16530408.6,36831832.348,56059,8919087,19874637.4726
2025-05-01 19:00:00+00:00,2.2327,2.2329,2.2157,2.2172,16527782.8,36760496.2336,45320,9051400.8,20136305.869
2025-05-01 20:00:00+00:00,2.2172,2.2244,2.2095,2.2145,21733193.2,48176948.9871,57896,10026843.1,22228199.8808
2025-05-01 21:00:00+00:00,2.2145,2.2275,2.2145,2.221,7733119.9,17176390.8243,33494,3915362.8,8696297.71617
2025-05-01 22:00:00+00:00,2.221,2.2258,2.213,2.2149,8731154,19372224.1499,39420,4279790.8,9496093.62857
2025-05-01 23:00:00+00:00,2.2149,2.2176,2.2083,2.2114,11041970.6,24423984.74,40692,4743109.9,10492402.5861
2025-05-02 00:00:00+00:00,2.2113,2.2219,2.2066,2.216,16903299.8,37419452.6131,56038,8696256.3,19251433.914
2025-05-02 01:00:00+00:00,2.216,2.2244,2.2115,2.2155,14076504.2,31214336.8786,50047,7956080.5,17642047.7657
2025-05-02 02:00:00+00:00,2.2155,2.2299,2.211,2.2267,12048002.2,26770457.7954,47828,5949457.2,13219156.1526
2025-05-02 03:00:00+00:00,2.2268,2.2331,2.223,2.2235,11325116.3,25220809.362,46045,5835633,12996934.2782
2025-05-02 04:00:00+00:00,2.2236,2.2319,2.22,2.2233,10514795.3,23408163.1658,44914,5032995,11205225.7226
2025-05-02 05:00:00+00:00,2.2234,2.2296,2.2078,2.2112,18332724.3,40640433.0076,52751,7736821.6,17150810.9236
2025-05-02 06:00:00+00:00,2.2111,2.2161,2.2024,2.2098,22859072,50492418.1632,60281,12130342.4,26793692.8392
2025-05-02 07:00:00+00:00,2.2097,2.213,2.1903,2.1937,32188918.7,70802107.7055,75434,14970617.4,32932471.2743
2025-05-02 08:00:00+00:00,2.1938,2.215,2.1928,2.2123,18768468,41404518.9435,57756,10276141.9,22663605.0516
2025-05-02 09:00:00+00:00,2.2123,2.2132,2.2038,2.2079,10560849,23320720.8582,38804,5029387.3,11105666.8538
2025-05-02 10:00:00+00:00,2.2078,2.2155,2.2072,2.2112,10881851.4,24065353.8326,41857,5919527.6,13091116.5067
2025-05-02 11:00:00+00:00,2.2112,2.2192,2.2112,2.2142,11726900.2,25976831.6611,42453,5686847.1,12597695.2823
2025-05-02 12:00:00+00:00,2.2143,2.2218,2.2047,2.2216,25225882.9,55852028.0898,78696,12775823.1,28287308.7741
2025-05-02 13:00:00+00:00,2.2215,2.2227,2.2104,2.2167,22762288.7,50460396.4961,65115,10376182.2,22999243.4678
2025-05-02 14:00:00+00:00,2.2168,2.2402,2.2166,2.2333,38107051.3,85009633.6829,109246,18655802.2,41616676.5536
2025-05-02 15:00:00+00:00,2.2334,2.2368,2.2078,2.2156,29235721,64888167.1462,83792,14282624.5,31692068.07
