timestamp,open,high,low,close,volume
2024-11-01 13:30:00+00:00,2202.17993164,2226.8918457,2202.17993164,2226.8918457,0
2024-11-01 14:30:00+00:00,2226.94995117,2227.34545898,2215.22973633,2220.734375,0
2024-11-01 15:30:00+00:00,2220.76757812,2220.90356445,2216.72045898,2216.72045898,0
2024-11-01 16:30:00+00:00,2216.70117188,2217.27294922,2208.08154297,2211.88842773,0
2024-11-01 17:30:00+00:00,2211.91137695,2211.98510742,2204.1574707,2207.54760742,0
2024-11-01 18:30:00+00:00,2207.57568359,2211.57373047,2207.23730469,2208.87841797,0
2024-11-01 19:30:00+00:00,2208.81054688,2210.27148438,2205.89819336,2210.27148438,0
2024-11-04 14:30:00+00:00,2206.56469727,2226.12963867,2200.29760742,2225.65844727,0
2024-11-04 15:30:00+00:00,2225.63671875,2233.19433594,2225.63671875,2230.17041016,0
2024-11-04 16:30:00+00:00,2230.14086914,2230.14086914,2219.77612305,2228.04980469,0
2024-11-04 17:30:00+00:00,2228.08276367,2231.33227539,2225.57739258,2226.94580078,0
2024-11-04 18:30:00+00:00,2226.95166016,2229.11938477,2223.54101562,2223.54101562,0
2024-11-04 19:30:00+00:00,2223.51904297,2223.94921875,2220.69628906,2222.48535156,0
2024-11-04 20:30:00+00:00,2222.47851562,2223.0625,2217.45996094,2219.17602539,0
2024-11-05 14:30:00+00:00,2216.62182617,2232.77636719,2212.26855469,2230.43725586,0
2024-11-05 15:30:00+00:00,2230.46166992,2237.88647461,2229.44482422,2237.37353516,0
2024-11-05 16:30:00+00:00,2237.36987305,2243.38891602,2237.36987305,2242.61157227,0
2024-11-05 17:30:00+00:00,2242.63842773,2243.27172852,2241.10693359,2242.90283203,0
2024-11-05 18:30:00+00:00,2242.96435547,2250.54760742,2241.76611328,2250.23828125,0
2024-11-05 19:30:00+00:00,2250.23583984,2253.20410156,2248.65869141,2253.14160156,0
2024-11-05 20:30:00+00:00,2253.24023438,2260.70239258,2253.04736328,2260.70239258,0
2024-11-06 14:30:00+00:00,2300.97827148,2377.6730957,2300.97827148,2377.11425781,0
2024-11-06 15:30:00+00:00,2377.19335938,2377.19335938,2359.27734375,2364.07836914,0
