timestamp,open,high,low,close,volume
2024-11-01 13:30:00+00:00,220.970001221,225.339996338,220.279998779,224.070007324,20933780
2024-11-01 14:30:00+00:00,224.089996338,224.214004517,221.600006104,223.210494995,10239831
2024-11-01 15:30:00+00:00,223.220001221,223.25,221.770004272,222.160003662,6402020
2024-11-01 16:30:00+00:00,222.13999939,223.399902344,222.050003052,223.339996338,3824883
2024-11-01 17:30:00+00:00,223.340194702,223.36000061,222.070007324,222.244995117,3414057
2024-11-01 18:30:00+00:00,222.240005493,223.099899292,222.13999939,222.330001831,4035303
2024-11-01 19:30:00+00:00,222.339996338,223.25,222.270004272,222.850006104,5287827
2024-11-04 14:30:00+00:00,221.011993408,222.539993286,219.710006714,221.731506348,9635855
2024-11-04 15:30:00+00:00,221.75,222.26499939,221.130096436,221.480102539,4458145
2024-11-04 16:30:00+00:00,221.480804443,221.570007324,220.410003662,221.115097046,4999217
2024-11-04 17:30:00+00:00,221.115005493,222.619995117,221.020095825,222.020492554,2890130
2024-11-04 18:30:00+00:00,222.020004272,222.619094849,221.960098267,222.259994507,2412789
2024-11-04 19:30:00+00:00,222.25,222.789993286,222.199996948,222.479995728,2504276
2024-11-04 20:30:00+00:00,222.5,222.559997559,221.520004272,222.119995117,4039677
2024-11-05 14:30:00+00:00,221.794998169,223.945007324,221.794998169,223.319107056,6371475
2024-11-05 15:30:00+00:00,223.320007324,223.479995728,221.934997559,222.669998169,4046507
2024-11-05 16:30:00+00:00,222.679992676,223.75,222.679992676,223.380004883,2163887
2024-11-05 17:30:00+00:00,223.399993896,223.779998779,222.619995117,222.619995117,2147843
2024-11-05 18:30:00+00:00,222.630004883,223.449996948,222.40020752,223.330093384,2141597
2024-11-05 19:30:00+00:00,223.339996338,223.447097778,222.809997559,223.25,1939508
2024-11-05 20:30:00+00:00,223.25,223.529998779,222.710006714,223.449996948,3341639
2024-11-06 14:30:00+00:00,221.214996338,225.88999939,221.190002441,225.651306152,15626726
2024-11-06 15:30:00+00:00,225.660003662,226.065002441,223.695007324,224.800003052,5934080
2024-11-06 16:30:00+00:00,224.802398682,225.179992676,223.964996338,224.259994507,4364147
2024-11-06 17:30:00+00:00,224.270004272,224.600006104,223.990005493,224.187698364,3127772
2024-11-06 18:30:00+00:00,224.184997559,224.330001831,223.744995117,223.850006104,3301101
2024-11-06 19:30:00+00:00,223.86000061,224.225006104,223.259994507,223.62550354,4460263
2024-11-06 20:30:00+00:00,223.660003662,223.880004883,222.5,222.699996948,5070195
2024-11-07 14:30:00+00:00,224.625,226.550003052,224.570007324,225.733596802,10347470
2024-11-07 15:30:00+00:00,225.75,226.419998169,225.350006104,226.304992676,3199921
2024-11-07 16:30:00+00:00,226.300003052,227.419998169,226.169998169,227.214996338,3447650
2024-11-07 17:30:00+00:00,227.210006714,227.490005493,226.770004272,227.103302002,2598523
2024-11-07 18:30:00+00:00,227.100006104,227.380004883,226.744995117,227.100006104,2170877
2024-11-07 19:30:00+00:00,227.11000061,227.759994507,226.854995728,227.529998779,3884098
2024-11-07 20:30:00+00:00,227.535003662,227.869995117,226.75,227.690002441,5268867
