timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-05-01 00:00:00+00:00,-0.00053421,0,-0.00097138,-0.00043976,0,0,720,0,0
2025-05-01 01:00:00+00:00,-0.0005571,-4.394e-05,-0.00103214,-0.00047081,0,0,720,0,0
2025-05-01 02:00:00+00:00,-0.00064745,0,-0.00094713,-0.00046606,0,0,720,0,0
2025-05-01 03:00:00+00:00,-0.00048582,0,-0.00129484,-0.00062075,0,0,720,0,0
2025-05-01 04:00:00+00:00,-0.00043445,-1.799e-05,-0.00090729,-0.00044379,0,0,720,0,0
2025-05-01 05:00:00+00:00,-0.00052046,-8.265e-05,-0.00092763,-0.00061316,0,0,720,0,0
2025-05-01 06:00:00+00:00,-0.00046027,-0.00018198,-0.00094407,-0.00041626,0,0,720,0,0
2025-05-01 07:00:00+00:00,-0.0006399,-9.897e-05,-0.00091071,-0.00060828,0,0,720,0,0
2025-05-01 08:00:00+00:00,-0.00042297,0.00010501,-0.00077976,-0.00029668,0,0,720,0,0
2025-05-01 09:00:00+00:00,-0.00028822,9.88e-06,-0.00079094,-0.00025365,0,0,720,0,0
2025-05-01 10:00:00+00:00,-0.00028241,0.00012659,-0.0008477,-0.000209,0,0,720,0,0
2025-05-01 11:00:00+00:00,-0.00034043,0.00015566,-0.0008044,-0.00018559,0,0,720,0,0
2025-05-01 12:00:00+00:00,-0.00018776,9.921e-05,-0.00088723,-0.00033364,0,0,720,0,0
2025-05-01 13:00:00+00:00,-0.00028117,1.168e-05,-0.00115697,-0.00025718,0,0,720,0,0
2025-05-01 14:00:00+00:00,-0.00066944,0.00049479,-0.00092806,-0.00030477,0,0,720,0,0
2025-05-01 15:00:00+00:00,-0.00025424,0.00014701,-0.0009526,-0.00040207,0,0,720,0,0
2025-05-01 16:00:00+00:00,-0.00046408,0,-0.00102663,-0.00026371,0,0,720,0,0
2025-05-01 17:00:00+00:00,-0.00031605,1.218e-05,-0.00080052,-8.494e-05,0,0,720,0,0
2025-05-01 18:00:00+00:00,-0.00010346,3.113e-05,-0.00079253,-0.00021466,0,0,720,0,0
2025-05-01 19:00:00+00:00,-0.00026078,0.00011427,-0.00077414,-0.00031893,0,0,720,0,0
2025-05-01 20:00:00+00:00,-0.00011291,8.761e-05,-0.00077388,-0.00032698,0,0,720,0,0
2025-05-01 21:00:00+00:00,-0.00016816,7.816e-05,-0.0005991,-0.00042129,0,0,720,0,0
2025-05-01 22:00:00+00:00,-0.00034188,1.909e-05,-0.00082333,-0.00021325,0,0,720,0,0
2025-05-01 23:00:00+00:00,-0.00018875,0,-0.00077659,-0.00041441,0,0,720,0,0
2025-05-02 00:00:00+00:00,-0.00045763,0.00014297,-0.00086243,-0.00017122,0,0,720,0,0
