timestamp,metric_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,15745101.2,63972346.1756,2.76886126,1.949748,3.30060397,1.020285
2025-06-01 01:00:00+00:00,2025-06-01 01:00:00+00:00,15736510.2,64000386.9834,2.78737919,1.947105,3.30326594,1.830713
2025-06-01 02:00:00+00:00,2025-06-01 02:00:00+00:00,15756470.4,63668076.8877,2.76816511,1.950701,3.27777778,0.98937
2025-06-01 03:00:00+00:00,2025-06-01 03:00:00+00:00,15780983,64086571.963,2.8329539,1.986455,3.28967775,0.708211
2025-06-01 04:00:00+00:00,2025-06-01 04:00:00+00:00,15811713.7,64263604.5968,2.83879237,2.000032,3.29975854,2.044192
2025-06-01 05:00:00+00:00,2025-06-01 05:00:00+00:00,15840048.7,64817479.2804,2.86119061,1.993244,3.34330435,5.615615
2025-06-01 06:00:00+00:00,2025-06-01 06:00:00+00:00,15862759.3,64566252.4712,2.86594099,1.989816,3.35556329,1.210422
2025-06-01 07:00:00+00:00,2025-06-01 07:00:00+00:00,15849080.9,64078105.415,2.86098398,1.983963,3.33356425,0.38173
2025-06-01 08:00:00+00:00,2025-06-01 08:00:00+00:00,15895556.8,64059093.904,2.8553495,2.002194,3.31483715,0.596968
2025-06-01 09:00:00+00:00,2025-06-01 09:00:00+00:00,15918468.6,63954091.6599,2.85946408,2.011367,3.30405638,0.965472
2025-06-01 10:00:00+00:00,2025-06-01 10:00:00+00:00,15869169.3,63315562.1262,2.86350657,2.019963,3.31742739,0.858777
2025-06-01 11:00:00+00:00,2025-06-01 11:00:00+00:00,15941368.2,63813296.9046,2.8532084,2.022864,3.30839353,1.423384
2025-06-01 12:00:00+00:00,2025-06-01 12:00:00+00:00,15964222.2,64151678.859,2.84107649,2.005321,3.3283891,0.8209
2025-06-01 13:00:00+00:00,2025-06-01 13:00:00+00:00,15995102,63982604.9273,2.85438547,2.014619,3.33224194,1.751418
2025-06-01 14:00:00+00:00,2025-06-01 14:00:00+00:00,16050972.4,64653316.8272,2.84941976,2.001911,3.33247555,2.187804
2025-06-01 15:00:00+00:00,2025-06-01 15:00:00+00:00,15961799.5,64549517.178,2.85055194,1.974697,3.34943279,1.07426
