timestamp,metric_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,7735264.64,1208659852.85,2.48554114,1.946319,2.77945922,0.73668
2025-06-01 01:00:00+00:00,2025-06-01 01:00:00+00:00,7700036.91,1200050752.42,2.45587308,1.956183,2.75510764,0.514135
2025-06-01 02:00:00+00:00,2025-06-01 02:00:00+00:00,7670085.32,1186585014.13,2.45066135,1.981665,2.73004617,1.437603
2025-06-01 03:00:00+00:00,2025-06-01 03:00:00+00:00,7715482.98,1191733501.09,2.5295858,2.009541,2.74986268,0.334981
2025-06-01 04:00:00+00:00,2025-06-01 04:00:00+00:00,7729426.22,1195278470.66,2.56338478,1.992616,2.82021657,1.88476
2025-06-01 05:00:00+00:00,2025-06-01 05:00:00+00:00,7731811.42,1202604473.11,2.56733738,1.984123,2.86065205,1.218917
2025-06-01 06:00:00+00:00,2025-06-01 06:00:00+00:00,7753360.78,1202081055.33,2.56257298,1.974856,2.83198268,0.782158
2025-06-01 07:00:00+00:00,2025-06-01 07:00:00+00:00,7770851.81,1200023623.61,2.55172414,1.968988,2.80720106,0.463375
2025-06-01 08:00:00+00:00,2025-06-01 08:00:00+00:00,7781187.77,1198925411.6,2.55982634,1.967323,2.82919563,0.69499
2025-06-01 09:00:00+00:00,2025-06-01 09:00:00+00:00,7840637.54,1199147105.37,2.61703038,1.946375,2.92331064,1.189431
2025-06-01 10:00:00+00:00,2025-06-01 10:00:00+00:00,7937506.37,1200234752.57,2.91965318,1.928051,3.21702675,0.799122
2025-06-01 11:00:00+00:00,2025-06-01 11:00:00+00:00,7963507.56,1206312125.19,2.92268811,1.936359,3.22365318,0.97192
2025-06-01 12:00:00+00:00,2025-06-01 12:00:00+00:00,7951054.31,1206333959.91,2.94548807,1.926501,3.3032967,0.683933
2025-06-01 13:00:00+00:00,2025-06-01 13:00:00+00:00,7972966.6,1204157145.6,2.92979452,1.923134,3.21207293,1.011171
2025-06-01 14:00:00+00:00,2025-06-01 14:00:00+00:00,7998164.76,1219640144.25,2.93393531,1.934323,3.27356446,1.883926
2025-06-01 15:00:00+00:00,2025-06-01 15:00:00+00:00,7922212.89,1214317855.02,2.65977947,1.946311,3.01349188,0.85295
2025-06-01 16:00:00+00:00,2025-06-01 16:00:00+00:00,7892574.22,1216166761.56,2.61794301,1.953019,2.93262688,0.835869
2025-06-01 17:00:00+00:00,2025-06-01 17:00:00+00:00,7859630.89,1226102418.84,2.84638999,1.930644,3.17593147,1.424075
2025-06-01 18:00:00+00:00,2025-06-01 18:00:00+00:00,7845001.5,1223349533.91,2.80083221,1.932985,3.08714252,0.485552
2025-06-01 19:00:00+00:00,2025-06-01 19:00:00+00:00,7733345.59,1198359232.63,2.82117163,1.963721,3.08942359,1.131592
2025-06-01 20:00:00+00:00,2025-06-01 20:00:00+00:00,7759210.63,1208807424.05,2.79668144,1.963464,3.05980677,1.020586
2025-06-01 21:00:00+00:00,2025-06-01 21:00:00+00:00,7722072.91,1203871166.67,2.79291955,1.955969,3.04129846,0.785763
2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,7685789.95,1208211202.88,2.84235375,1.954026,3.00035261,1.237052
2025-06-01 23:00:00+00:00,2025-06-01 23:00:00+00:00,7721046.02,1217145694.59,2.82648611,1.944083,2.97317201,1.152236
2025-06-02 00:00:00+00:00,2025-06-02 00:00:00+00:00,7718848.07,1215409817.1,2.84245707,1.939818,2.91721988,0.25349
2025-06-02 01:00:00+00:00,2025-06-02 01:00:00+00:00,7710481.61,1218555190.05,2.77890581,1.955216,2.83724832,0.92118
2025-06-02 02:00:00+00:00,2025-06-02 02:00:00+00:00,7702874.8,1213741982.24,2.6688496,1.949042,2.71448588,0.617105
2025-06-02 03:00:00+00:00,2025-06-02 03:00:00+00:00,7664855.9,1198936759.88,2.69594303,1.979407,2.59927045,0.549614
2025-06-02 04:00:00+00:00,2025-06-02 04:00:00+00:00,7634288.7,1188582407.7,2.86295112,2.007857,2.77206983,3.421664
2025-06-02 05:00:00+00:00,2025-06-02 05:00:00+00:00,7630414.78,1184698198.74,2.91866193,1.999707,2.75237783,1.270683
2025-06-02 06:00:00+00:00,2025-06-02 06:00:00+00:00,7599933.45,1182271057.25,2.93445456,2.0136,2.76839791,1.882513
2025-06-02 07:00:00+00:00,2025-06-02 07:00:00+00:00,7628519.6,1191675702.24,2.9782381,2.023147,2.83528493,3.41796
2025-06-02 08:00:00+00:00,2025-06-02 08:00:00+00:00,7669052.51,1192276207.83,2.87835542,2.0171,2.83222481,1.055463
2025-06-02 09:00:00+00:00,2025-06-02 09:00:00+00:00,7660767.78,1180176270.74,2.90399543,1.987483,2.89467085,0.600393
2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,7702333.59,1178165002.6,2.6737338,1.951739,2.77588474,0.601607
2025-06-02 11:00:00+00:00,2025-06-02 11:00:00+00:00,7715796.64,1186612365.27,2.67585765,1.933377,2.81621799,0.672542
2025-06-02 12:00:00+00:00,2025-06-02 12:00:00+00:00,7708969.24,1182686054.76,2.67271563,1.954213,2.77033829,1.20208
2025-06-02 13:00:00+00:00,2025-06-02 13:00:00+00:00,7724428.26,1190334394.87,2.75465498,1.973738,2.89626393,0.869085
2025-06-02 14:00:00+00:00,2025-06-02 14:00:00+00:00,7677232.98,1169917903.28,2.79642034,1.956719,3.01210598,1.058462
2025-06-02 15:00:00+00:00,2025-06-02 15:00:00+00:00,7721053.14,1175916393.22,2.77948774,1.989584,3.01810449,0.86843
2025-06-02 16:00:00+00:00,2025-06-02 16:00:00+00:00,7775084.76,1188499456.41,2.81772963,1.961103,3.11722419,0.767223
2025-06-02 17:00:00+00:00,2025-06-02 17:00:00+00:00,7779307.86,1188958081.15,2.80149648,1.957842,3.11106621,1.356607
2025-06-02 18:00:00+00:00,2025-06-02 18:00:00+00:00,7762968.44,1193417644.84,2.78062896,1.97219,3.10099214,1.629339
2025-06-02 19:00:00+00:00,2025-06-02 19:00:00+00:00,7715569.23,1183182541.42,2.77605881,2.02033,3.12280804,1.104686
2025-06-02 20:00:00+00:00,2025-06-02 20:00:00+00:00,7741129.74,1186482955.25,2.79169413,1.969994,3.16374544,2.031397
2025-06-02 21:00:00+00:00,2025-06-02 21:00:00+00:00,7683038.6,1188412410.65,2.76089814,2.065882,3.06565248,1.366591
2025-06-02 22:00:00+00:00,2025-06-02 22:00:00+00:00,7655054.16,1194014296.48,3.14627268,2.086165,3.37839209,1.938008
2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,7683465.72,1203056576.55,3.16535819,2.068002,3.32620556,1.431651
2025-06-03 00:00:00+00:00,2025-06-03 00:00:00+00:00,7656867.54,1198912319.41,3.12248384,2.049926,3.255154,0.578192
2025-06-03 01:00:00+00:00,2025-06-03 01:00:00+00:00,7689318.09,1226215555.81,2.98522578,1.997564,3.01949017,1.652562
2025-06-03 02:00:00+00:00,2025-06-03 02:00:00+00:00,7661420.82,1242499812.79,2.81310568,1.978537,2.72695469,1.23279
