timestamp,metric_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,83624.198,8736988614.45,1.23458273,1.561637,1.19060369,0.552801
2025-06-01 01:00:00+00:00,2025-06-01 01:00:00+00:00,83205.167,8682211240.13,1.23328675,1.591609,1.18192351,0.536926
2025-06-01 02:00:00+00:00,2025-06-01 02:00:00+00:00,83159.961,8650605316.2,1.2324388,1.60168,1.16706976,1.88699
2025-06-01 03:00:00+00:00,2025-06-01 03:00:00+00:00,83036.487,8641339343.53,1.28585321,1.620287,1.18322615,0.87021
2025-06-01 04:00:00+00:00,2025-06-01 04:00:00+00:00,82915.197,8655052405.08,1.29698516,1.620095,1.20736528,2.445724
2025-06-01 05:00:00+00:00,2025-06-01 05:00:00+00:00,82952.864,8679814401.07,1.2861637,1.622479,1.19437868,1.356979
2025-06-01 06:00:00+00:00,2025-06-01 06:00:00+00:00,83059.948,8673374608.99,1.27983915,1.619984,1.18202727,0.839464
2025-06-01 07:00:00+00:00,2025-06-01 07:00:00+00:00,83782.357,8726117585.43,1.29065565,1.585995,1.19276711,0.566408
2025-06-01 08:00:00+00:00,2025-06-01 08:00:00+00:00,83689.219,8718210595.34,1.29754513,1.586258,1.20215904,0.965457
2025-06-01 09:00:00+00:00,2025-06-01 09:00:00+00:00,83474.177,8702992651.77,1.29445787,1.57892,1.2099759,2.010508
2025-06-01 10:00:00+00:00,2025-06-01 10:00:00+00:00,83345.383,8659758751.75,1.29978512,1.595225,1.20372053,2.403547
2025-06-01 11:00:00+00:00,2025-06-01 11:00:00+00:00,83234.33,8641063526.71,1.31011386,1.594229,1.21368592,0.447083
2025-06-01 12:00:00+00:00,2025-06-01 12:00:00+00:00,83526.697,8689491105.65,1.32111949,1.597069,1.23154584,0.404394
2025-06-01 13:00:00+00:00,2025-06-01 13:00:00+00:00,83475.501,8674106259.91,1.32282657,1.595222,1.23275551,0.702285
2025-06-01 14:00:00+00:00,2025-06-01 14:00:00+00:00,83800.353,8746686984.48,1.31361448,1.592631,1.22596655,1.967534
2025-06-01 15:00:00+00:00,2025-06-01 15:00:00+00:00,83438.846,8728279019.64,1.2925361,1.589536,1.20257813,0.787175
2025-06-01 16:00:00+00:00,2025-06-01 16:00:00+00:00,83428.888,8731567303.41,1.27346588,1.582699,1.18357324,0.6879
2025-06-01 17:00:00+00:00,2025-06-01 17:00:00+00:00,83239.991,8742731429.96,1.26320627,1.578098,1.20044543,0.717704
2025-06-01 18:00:00+00:00,2025-06-01 18:00:00+00:00,83204.075,8730682603.17,1.2693113,1.570574,1.19088054,0.427915
2025-06-01 19:00:00+00:00,2025-06-01 19:00:00+00:00,82980.555,8705747264.77,1.26106971,1.573412,1.17864887,1.13364
2025-06-01 20:00:00+00:00,2025-06-01 20:00:00+00:00,82731.724,8689324358.42,1.25961207,1.577058,1.17618537,0.687946
2025-06-01 21:00:00+00:00,2025-06-01 21:00:00+00:00,82844.414,8690379028.6,1.25890552,1.564471,1.17463914,1.725889
2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,82531.7,8715911986.35,1.24686433,1.552265,1.17644712,2.188169
2025-06-01 23:00:00+00:00,2025-06-01 23:00:00+00:00,82851.516,8751116811.14,1.22563971,1.535773,1.15281641,1.309542
2025-06-02 00:00:00+00:00,2025-06-02 00:00:00+00:00,82795.123,8742808969.77,1.21422318,1.533118,1.13511948,0.942736
2025-06-02 01:00:00+00:00,2025-06-02 01:00:00+00:00,82832.282,8730994666.81,1.19561575,1.541385,1.10532348,1.22862
2025-06-02 02:00:00+00:00,2025-06-02 02:00:00+00:00,82741.773,8707107078.87,1.1837595,1.545708,1.08188191,0.536927
2025-06-02 03:00:00+00:00,2025-06-02 03:00:00+00:00,82477.228,8649985378.14,1.22826087,1.593441,1.07699613,1.027709
2025-06-02 04:00:00+00:00,2025-06-02 04:00:00+00:00,82513.717,8647858361.56,1.22742503,1.581223,1.09578521,3.97038
2025-06-02 05:00:00+00:00,2025-06-02 05:00:00+00:00,82407.096,8627141195.27,1.23451178,1.586262,1.10707726,1.600499
2025-06-02 06:00:00+00:00,2025-06-02 06:00:00+00:00,82582.716,8662347045.18,1.24634691,1.569518,1.12600566,1.710035
2025-06-02 07:00:00+00:00,2025-06-02 07:00:00+00:00,83403.818,8780088737.44,1.23351348,1.537689,1.12320026,1.883699
2025-06-02 08:00:00+00:00,2025-06-02 08:00:00+00:00,83670.731,8817697649.82,1.21431552,1.516808,1.09891713,0.876822
2025-06-02 09:00:00+00:00,2025-06-02 09:00:00+00:00,83961.061,8834072182.49,1.16290727,1.51925,1.04151109,0.737348
2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,82434.312,8608524524.42,1.24261394,1.521776,1.12874433,0.702024
2025-06-02 11:00:00+00:00,2025-06-02 11:00:00+00:00,82583.638,8612647607.02,1.32311678,1.509569,1.19538922,1.212577
2025-06-02 12:00:00+00:00,2025-06-02 12:00:00+00:00,82531.016,8582619919.53,1.35219682,1.527085,1.22663764,2.265268
2025-06-02 13:00:00+00:00,2025-06-02 13:00:00+00:00,82634.131,8608166677.14,1.41746756,1.525208,1.31450755,0.786933
2025-06-02 14:00:00+00:00,2025-06-02 14:00:00+00:00,82701.368,8597361302.77,1.42227176,1.534938,1.30801205,1.494915
2025-06-02 15:00:00+00:00,2025-06-02 15:00:00+00:00,82403.385,8566227407,1.33007807,1.541792,1.25354316,1.028582
2025-06-02 16:00:00+00:00,2025-06-02 16:00:00+00:00,82364.93,8594508641.23,1.31609011,1.544398,1.2469287,0.523961
2025-06-02 17:00:00+00:00,2025-06-02 17:00:00+00:00,82113.703,8556711697.14,1.31661122,1.545654,1.24532839,0.847932
2025-06-02 18:00:00+00:00,2025-06-02 18:00:00+00:00,82158.921,8575485265.43,1.31409658,1.537091,1.24801592,0.980471
2025-06-02 19:00:00+00:00,2025-06-02 19:00:00+00:00,81802.79,8543208216.06,1.31081913,1.531646,1.24316121,1.456533
2025-06-02 20:00:00+00:00,2025-06-02 20:00:00+00:00,81672.852,8532803881.84,1.30175941,1.535749,1.22987838,1.303587
2025-06-02 21:00:00+00:00,2025-06-02 21:00:00+00:00,81222.13,8522889889.5,1.30573136,1.540586,1.21752309,2.240639
2025-06-02 22:00:00+00:00,2025-06-02 22:00:00+00:00,81006.868,8514740435.29,1.2945266,1.535913,1.20754299,1.539395
2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,81809.92,8649137044.32,1.25941044,1.516311,1.13304574,1.096597
2025-06-03 00:00:00+00:00,2025-06-03 00:00:00+00:00,82141.796,8685657080.68,1.20165551,1.496975,1.06351376,0.444241
2025-06-03 01:00:00+00:00,2025-06-03 01:00:00+00:00,82184.838,8737004379.91,1.14192572,1.496873,1.01204992,0.641197
2025-06-03 02:00:00+00:00,2025-06-03 02:00:00+00:00,82323.025,8758656178.64,1.13468914,1.486441,0.98768723,0.819343
2025-06-03 03:00:00+00:00,2025-06-03 03:00:00+00:00,81679,8622157758.5,1.11964102,1.513707,0.95242928,0.750658
2025-06-03 04:00:00+00:00,2025-06-03 04:00:00+00:00,81203.57,8561909532.23,1.13932127,1.535533,0.96806016,0.751099
2025-06-03 05:00:00+00:00,2025-06-03 05:00:00+00:00,80855.766,8509705520.55,1.16538504,1.557846,0.99255018,1.962383
2025-06-03 06:00:00+00:00,2025-06-03 06:00:00+00:00,80662.606,8499926968.64,1.19156559,1.555085,1.03278209,1.247012
2025-06-03 07:00:00+00:00,2025-06-03 07:00:00+00:00,80712.416,8506047456.23,1.20448814,1.551869,1.04415569,2.437195
2025-06-03 08:00:00+00:00,2025-06-03 08:00:00+00:00,80738.36,8492248131.88,1.20896706,1.553632,1.04977403,1.739289
2025-06-03 09:00:00+00:00,2025-06-03 09:00:00+00:00,80791.187,8488898779.46,1.23375064,1.552956,1.07059069,1.292637
2025-06-03 10:00:00+00:00,2025-06-03 10:00:00+00:00,81048.627,8518025644.01,1.25130122,1.543669,1.09960263,0.446856
2025-06-03 11:00:00+00:00,2025-06-03 11:00:00+00:00,81207.413,8550202529.41,1.25243808,1.5381,1.1132717,1.259786
2025-06-03 12:00:00+00:00,2025-06-03 12:00:00+00:00,81225.914,8550318828.7,1.22947863,1.534741,1.09435662,1.068284
2025-06-03 13:00:00+00:00,2025-06-03 13:00:00+00:00,81648.315,8602523622.22,1.2302434,1.519658,1.0999581,2.956879
2025-06-03 14:00:00+00:00,2025-06-03 14:00:00+00:00,81871.496,8621936366.66,1.21294936,1.508255,1.08937865,0.862334
2025-06-03 15:00:00+00:00,2025-06-03 15:00:00+00:00,82907.292,8813932247.62,1.04860406,1.460785,0.91025856,0.804147
2025-06-03 16:00:00+00:00,2025-06-03 16:00:00+00:00,84486.868,8987429377.36,0.97266655,1.44091,0.81667045,0.473752
2025-06-03 17:00:00+00:00,2025-06-03 17:00:00+00:00,83930.577,8889691710.22,0.98772045,1.428353,0.8234528,2.036195
2025-06-03 18:00:00+00:00,2025-06-03 18:00:00+00:00,83641.484,8840896494.65,1.01796005,1.423981,0.85690357,0.601157
2025-06-03 19:00:00+00:00,2025-06-03 19:00:00+00:00,83264.678,8829134000.54,1.03660649,1.423655,0.88912192,1.477065
2025-06-03 20:00:00+00:00,2025-06-03 20:00:00+00:00,83384.123,8844020268.22,1.02814652,1.407196,0.87962501,1.315204
2025-06-03 21:00:00+00:00,2025-06-03 21:00:00+00:00,82892.924,8758605243.24,1.04424379,1.424101,0.88539606,0.940874
