timestamp,open,high,low,close,volume
2024-11-01 04:00:00+00:00,1002,1002.25,1001.75,1002,0
2024-11-01 05:00:00+00:00,1002,1002.75,1001.5,1002,757
2024-11-01 06:00:00+00:00,1002.25,1002.75,1000.75,1001,1448
2024-11-01 07:00:00+00:00,1001,1002.25,1000.5,1002.25,1996
2024-11-01 08:00:00+00:00,1002,1004.5,1001.75,1003.5,1454
2024-11-01 09:00:00+00:00,1003.5,1004.75,1003.25,1004.25,1331
2024-11-01 10:00:00+00:00,1004.25,1004.25,1001.5,1001.5,1145
2024-11-01 11:00:00+00:00,1001.5,1001.5,999.5,1001.25,1132
2024-11-01 12:00:00+00:00,1001.25,1003,1000.5,1002.5,2059
2024-11-01 13:00:00+00:00,1002.5,1008.75,1001.75,1006,19589
2024-11-01 14:00:00+00:00,1006.25,1006.5,996.75,998,17674
2024-11-01 15:00:00+00:00,998.25,999,993,993.25,12737
2024-11-01 16:00:00+00:00,993.25,993.75,988.75,992,21472
2024-11-01 17:00:00+00:00,991.75,995,991.75,994.75,10893
2024-11-01 18:00:00+00:00,994.5,995.75,992.75,995.25,11672
2024-11-04 01:00:00+00:00,996.5,1003.5,995.5,1002.75,4923
2024-11-04 02:00:00+00:00,1003,1005,1002.25,1004.75,1934
2024-11-04 03:00:00+00:00,1004.75,1005,1002,1003.5,1390
2024-11-04 04:00:00+00:00,1003.5,1004.5,1002.75,1003.25,455
2024-11-04 05:00:00+00:00,1003.25,1004.5,1003,1004.5,520
2024-11-04 06:00:00+00:00,1004,1005,1003,1004.5,1262
2024-11-04 07:00:00+00:00,1004.25,1004.5,1001.75,1002.5,563
2024-11-04 08:00:00+00:00,1002.5,1005.25,1002.5,1004.75,1195
2024-11-04 09:00:00+00:00,1004.5,1007,1004.5,1005.75,1075
2024-11-04 10:00:00+00:00,1005.5,1006.75,1004.5,1006.25,2133
2024-11-04 11:00:00+00:00,1006.5,1008,1006.25,1007.75,1204
2024-11-04 12:00:00+00:00,1008,1008,1005.25,1006.25,2689
2024-11-04 13:00:00+00:00,1006.25,1007.25,1004.25,1004.75,3773
2024-11-04 14:00:00+00:00,1004.5,1007,1003.75,1006,13816
2024-11-04 15:00:00+00:00,1006,1006.25,997.25,998,18605
2024-11-04 16:00:00+00:00,998.25,999.5,995.25,997.25,11100
2024-11-04 17:00:00+00:00,997.5,998,994,997.25,9254
2024-11-04 18:00:00+00:00,997,998.25,996.25,997,7113
2024-11-04 19:00:00+00:00,997.25,997.75,996.25,997.25,9469
2024-11-05 01:00:00+00:00,997,1000.75,996.5,1000.5,0
2024-11-05 02:00:00+00:00,1000.25,1000.75,999.25,999.25,1754
2024-11-05 03:00:00+00:00,999.25,1001.75,999.25,1001.5,682
2024-11-05 04:00:00+00:00,1001.25,1001.75,1000.75,1001,184
2024-11-05 05:00:00+00:00,1001.25,1001.25,998,998.75,684
2024-11-05 06:00:00+00:00,998.75,999.5,997,997,1447
2024-11-05 07:00:00+00:00,997,999.75,996.5,999.75,954
2024-11-05 08:00:00+00:00,999.5,999.75,998.25,999.25,525
2024-11-05 09:00:00+00:00,999.5,1000.5,999.25,999.75,452
2024-11-05 10:00:00+00:00,999.5,999.75,998.25,999,816
2024-11-05 11:00:00+00:00,999,999.75,998.5,999.5,478
2024-11-05 12:00:00+00:00,999.5,1000.5,998.5,1000,1349
2024-11-05 13:00:00+00:00,1000,1003.25,999.75,1002.25,3583
2024-11-05 14:00:00+00:00,1001.5,1006.25,1000.75,1001.75,17681
2024-11-05 15:00:00+00:00,1001.75,1003.25,998.5,1000,12476
2024-11-05 16:00:00+00:00,1000,1004.25,999.25,1003.25,7782
2024-11-05 17:00:00+00:00,1003.5,1005.5,1003,1003.25,11895
2024-11-05 18:00:00+00:00,1003,1004,999.5,1000.5,9312
2024-11-05 19:00:00+00:00,1000.25,1003.5,999.5,1003.5,12764
2024-11-06 01:00:00+00:00,999.25,1002,996.25,1000.25,0
2024-11-06 02:00:00+00:00,1000.5,1000.5,990,990.5,7160
2024-11-06 03:00:00+00:00,990.25,990.75,984.5,984.5,10004
2024-11-06 04:00:00+00:00,984.5,986,982,982.5,3986
2024-11-06 05:00:00+00:00,982.5,985.75,982.5,984.5,4359
2024-11-06 06:00:00+00:00,984.5,989,984,988.25,8410
2024-11-06 07:00:00+00:00,988.5,989,984.5,985.75,3432
2024-11-06 08:00:00+00:00,985.5,988,985,988,5056
2024-11-06 09:00:00+00:00,988,988,986.25,986.75,1930
2024-11-06 10:00:00+00:00,986.75,987,985.75,985.75,1039
2024-11-06 11:00:00+00:00,985.5,986,983,984.5,3572
2024-11-06 12:00:00+00:00,984.5,984.75,982.25,983.75,3952
2024-11-06 13:00:00+00:00,983.5,986.75,982,986.25,6328
2024-11-06 14:00:00+00:00,986.5,997.5,985,997.5,37177
2024-11-06 15:00:00+00:00,997.5,1002.75,996.75,1000.25,33608
2024-11-06 16:00:00+00:00,1000.5,1002.5,999,1001.5,14914
2024-11-06 17:00:00+00:00,1001.75,1003.5,1000.5,1003,10677
2024-11-06 18:00:00+00:00,1003,1007.75,1001.5,1003.25,15861
2024-11-06 19:00:00+00:00,1003.5,1005,1001.75,1004.75,11775
2024-11-07 01:00:00+00:00,1004,1009.5,1004,1008.75,0
2024-11-07 02:00:00+00:00,1009,1010.75,1007,1010.75,2843
2024-11-07 03:00:00+00:00,1010.75,1011.5,1007.25,1008.75,1551
2024-11-07 04:00:00+00:00,1008.75,1009.25,1008,1008.5,284
2024-11-07 05:00:00+00:00,1008.5,1009.25,1007.25,1008,1084
2024-11-07 06:00:00+00:00,1008,1009,1005.25,1008.75,1739
2024-11-07 07:00:00+00:00,1008.5,1010.25,1008,1010,917
2024-11-07 08:00:00+00:00,1010,1011.75,1008.25,1008.75,1800
2024-11-07 09:00:00+00:00,1008.75,1009.5,1007.5,1007.75,1298
2024-11-07 10:00:00+00:00,1007.75,1011,1007.25,1010.75,1529
2024-11-07 11:00:00+00:00,1010.75,1012,1010.25,1011.25,1580
2024-11-07 12:00:00+00:00,1011.5,1014.25,1011.5,1013.75,4056
2024-11-07 13:00:00+00:00,1014,1018.75,1012,1013.75,9932
2024-11-07 14:00:00+00:00,1013.25,1015,1003.25,1004.25,24040
2024-11-07 15:00:00+00:00,1004.25,1010,1000.5,1009.25,30951
2024-11-07 16:00:00+00:00,1009,1013.5,1007.75,1012.75,18498
2024-11-07 17:00:00+00:00,1012.5,1015.25,1010.75,1015.25,12946
2024-11-07 18:00:00+00:00,1015.25,1023.75,1015.25,1022.75,35224
2024-11-07 19:00:00+00:00,1022.5,1027.75,1022.5,1026.5,28587
2024-11-08 01:00:00+00:00,1025,1027,1019.75,1021.75,0
2024-11-08 02:00:00+00:00,1021.75,1021.75,1020,1021.5,1705
2024-11-08 03:00:00+00:00,1021.25,1022.75,1020,1020.75,2210
2024-11-08 04:00:00+00:00,1020.75,1021,1020.5,1020.75,307
