symbol,marketFamily,timeframe,entryMode,setupClass,direction,regime,volState,auditGoodOpportunity,netR,grossR,mfeR,maeR,riskAtr,tp2R,exitType
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.3854824404991724,-1.0,0.23628258332256302,2.3884274165302006,0.8463746972609771,1.5509614433471899,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.3791970679583097,-1.0,0.23243991440549241,2.3495843682397966,0.8710535330005208,1.5257381228378273,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-2.2335677327751533,-1.0,3.0165982229344923,5.398379273351436,0.26727122855455987,7.231537405766372,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.48997630292085476,0.5783363435308936,1.1398281802007901,0.3820178005125378,3.3757513175797325,0.5783363435308936,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.3552832610205054,-1.0,0.8145815682183621,1.8855814997232674,0.8610849409182131,2.411223391813818,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-2.101874493660679,-1.0,4.156420382806806,3.7517926822026446,0.277114223865545,7.217240501412871,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.4898106754075595,0.5763597567760574,1.0438981896571877,0.3610222013945664,3.310152786052394,0.5763597567760574,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.5592561730735723,0.652914258187723,1.2086833431153103,0.3095059100585532,3.063189346716582,0.652914258187723,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.29624203146455724,0.37392301638628916,0.8358852348108322,0.4260526714256735,3.6852060023230733,0.37392301638628916,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.523184540858495,-1.0,0.08582131636600188,5.315172818380518,0.5087011846264592,3.927604561702648,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.7543941446861173,-1.0,0.5665944851232189,7.225818039982073,0.35258555750922443,5.672382085439428,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.6707552917172318,0.7534239568286757,0.8970738313064142,0.5709177802875577,2.8202630511320934,0.7534239568286757,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.671221201502372,0.7802373847600802,1.0140292020709958,0.4384373310416598,2.154923745906118,0.7802373847600802,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.4073401727203172,0.4989747159924921,0.6958293747897107,0.5271595521923849,2.5592665258728204,0.4989747159924921,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,True,0.8353898883904862,1.1270318059960869,2.0880324990151147,0.0,0.9227362377950902,1.1270318059960869,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-1.5499753988712484,-1.0,2.2085778321813216,2.8714660051054404,0.47984124122361016,4.08244108616299,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,False,-2.002954489607623,-1.0,3.28414914270075,4.4156790446692,0.262907187430005,7.607247331465448,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,-1.0661297359812218,-1.0,0.23663288126865234,1.0802648977357159,3.958345902265491,0.43341460849968333,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.5584524695521728,0.6549944541542113,0.8273607698639007,0.9081655979592952,2.678737980426882,0.6549944541542113,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,SHORT,TREND_DOWN,NORMAL,False,0.44250279970338313,0.5317829505531184,0.6913168891660368,0.2971154196525862,2.894206715212428,0.5317829505531184,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,True,0.5974811463123225,0.7553493109818609,1.3144713678963633,0.1234354054392716,1.6313462388026414,0.7553493109818609,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,True,-1.0890514233356592,-1.0,0.6777655651242003,1.088022568808215,2.428751603973228,0.7601751086276485,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,True,1.3815963331706391,1.5569668881160772,1.6806419729232591,0.3494774279468819,1.1942418590691999,1.5569668881160772,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,True,1.9476435091736612,2.174954650747595,2.1829267038137816,0.15515921716873562,0.9195594029110166,2.174954650747595,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,SWEEP_RECLAIM,LONG,TREND_DOWN,NORMAL,True,0.6684484770148627,0.7975802058782065,0.8020937836669833,0.24041557948829603,1.6241608543328754,0.7975802058782065,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,NORMAL,False,-1.2986140102050447,-1.0,0.0673016191519991,1.1355148869356484,0.9154380636846587,1.3583853676155957,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,RANGE,NORMAL,False,-1.3296866096419033,-1.0,0.17799015360178846,1.1495689687077286,0.8294199443149944,1.6029706051200667,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,NORMAL,True,1.5497530095066412,2.1161399463506148,6.468441319272176,0.14539577221703565,0.5415466031613616,2.1161399463506148,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,-1.105885008910265,-1.0,0.699098136404345,1.1889136504174802,2.5143087554974715,0.7815087934102021,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,SHORT,TREND_DOWN,NORMAL,False,0.3832334979139299,0.5206272283836639,1.2241493624299244,0.3202783466643467,1.920760086068851,0.5206272283836639,TP2
