candidateId,signalUtc,symbol,marketFamily,timeframe,direction,setupClass,entryMode,auditGoodOpportunity,planValid,entered,netR,stressNetR,grossR,mfeR,maeR,reason
BTC-USD|1h|2025-01-06T13:00:00+00:00|LONG|PULLBACK|1596,2025-01-06T13:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,PULLBACK,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,INVALID_TARGET_GEOMETRY
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|BREAKOUT|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,trigger_close,True,True,True,0.25634195160054596,0.20902360513183604,0.35097864453796584,0.7915706619335457,0.06035559477056935,CLOSED
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|BREAKOUT|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,retest_limit,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|BREAKOUT|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,structure_confirmed_retest,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|PULLBACK|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,PULLBACK,trigger_close,True,True,True,0.25634195160054596,0.20902360513183604,0.35097864453796584,0.7915706619335457,0.06035559477056935,CLOSED
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|PULLBACK|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,PULLBACK,retest_limit,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T14:00:00+00:00|LONG|PULLBACK|1597,2025-01-06T14:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,PULLBACK,structure_confirmed_retest,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T15:00:00+00:00|LONG|BREAKOUT|1598,2025-01-06T15:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,trigger_close,False,True,True,-1.0560874471067345,-1.0841311706601018,-1.0,0.1503553900993587,1.3029883460916485,CLOSED
BTC-USD|1h|2025-01-06T15:00:00+00:00|LONG|BREAKOUT|1598,2025-01-06T15:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,retest_limit,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T15:00:00+00:00|LONG|BREAKOUT|1598,2025-01-06T15:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,BREAKOUT,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T16:00:00+00:00|SHORT|SWEEP_RECLAIM|1599,2025-01-06T16:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,trigger_close,True,True,True,-1.4448671125621275,-1.6673006688431913,-1.0,1.6718111362869597,1.1089062781194414,CLOSED
BTC-USD|1h|2025-01-06T16:00:00+00:00|SHORT|SWEEP_RECLAIM|1599,2025-01-06T16:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,retest_limit,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-06T16:00:00+00:00|SHORT|SWEEP_RECLAIM|1599,2025-01-06T16:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,structure_confirmed_retest,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-07T00:00:00+00:00|SHORT|SWEEP_RECLAIM|1607,2025-01-07T00:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,trigger_close,True,True,True,1.316296242841548,1.176931892640439,1.5950249432437655,2.180394679305573,0.0,CLOSED
BTC-USD|1h|2025-01-07T00:00:00+00:00|SHORT|SWEEP_RECLAIM|1607,2025-01-07T00:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,retest_limit,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-07T00:00:00+00:00|SHORT|SWEEP_RECLAIM|1607,2025-01-07T00:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,SWEEP_RECLAIM,structure_confirmed_retest,True,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-07T11:00:00+00:00|LONG|SWEEP_RECLAIM|1618,2025-01-07T11:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,trigger_close,False,True,True,-1.4532398395840271,-1.6798597593760407,-1.0,0.21364924649530156,2.032492225843133,CLOSED
BTC-USD|1h|2025-01-07T11:00:00+00:00|LONG|SWEEP_RECLAIM|1618,2025-01-07T11:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,retest_limit,False,True,True,-2.0034398886310023,-2.5051598329465037,-1.0,1.1780728163392482,3.288633820581963,CLOSED
BTC-USD|1h|2025-01-07T11:00:00+00:00|LONG|SWEEP_RECLAIM|1618,2025-01-07T11:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,LONG,SWEEP_RECLAIM,structure_confirmed_retest,False,True,False,0.0,0.0,0.0,0.0,0.0,NO_ENTRY
BTC-USD|1h|2025-01-07T18:00:00+00:00|SHORT|BREAKOUT|1625,2025-01-07T18:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,trigger_close,True,True,True,0.20537861175201227,0.18744167402409712,0.2412524872078426,0.26690082108085156,0.10031591797924808,CLOSED
BTC-USD|1h|2025-01-07T18:00:00+00:00|SHORT|BREAKOUT|1625,2025-01-07T18:00:00+00:00,BTC-USD,CRYPTO_SPOT,1h,SHORT,BREAKOUT,retest_limit,True,True,True,0.08726244524040724,0.06846156667576869,0.12486420236968432,0.14881796176622797,0.039320904446242214,CLOSED
